epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,1.4869692407608033,45.392,1.1695591186523437,56.9,20.81347131729126
2,1.1340886080932617,59.502,0.9152159265518188,67.69,20.90495276451111
3,1.0138933114242554,64.106,0.824175549697876,70.81,33.66758060455322
4,0.9287134784317017,67.078,0.7795373856544494,72.41,36.41867542266846
5,0.8838171499633789,69.01,0.7639127532958985,72.86,32.72174024581909
6,0.8383365144729614,70.506,0.7796884740352631,71.93,21.26559090614319
7,0.7998336229324341,72.044,0.683874855518341,76.56,33.11867117881775
8,0.7742357462692261,72.944,0.6957996613502503,75.18,34.738330602645874
9,0.7520863506126404,73.91,0.6225440381526947,78.2,46.36611294746399
10,0.7258186712837219,74.716,0.6309455063343048,77.92,36.72284436225891
11,0.7081570988464355,75.45,0.6255171414375306,78.06,36.11256003379822
12,0.6895497621917724,76.012,0.6434861371994018,77.83,46.78148341178894
13,0.673985638961792,76.682,0.6696932605266571,77.22,33.88710594177246
14,0.6535644861412049,77.428,0.5954973934650422,79.36,29.641052961349487
15,0.6431875714683533,77.898,0.5820225442886352,79.98,41.896374225616455
16,0.6234349553489685,78.15,0.6056161963939667,79.57,34.10175585746765
17,0.6117640594482422,78.926,0.5961781727790832,79.75,31.924258708953857
18,0.6095201240348815,78.77,0.5657221005439759,80.56,40.356327533721924
19,0.5915744383430481,79.684,0.5474130270004273,81.44,36.995426177978516
20,0.5816811641502381,80.038,0.5257169996738433,82.05,36.68242120742798
