epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,1.7940637226104736,38.138,1.297402583503723,52.56,16.819032192230225
2,1.315146279373169,52.18,1.0882042623519896,60.41,16.604394912719727
3,1.1568466802215576,58.686,1.0492952614784241,62.37,15.890698671340942
4,1.0620138345336914,62.23,0.8982419896125794,68.56,15.869746446609497
5,0.985403474445343,65.262,0.8181379606246948,71.41,16.16892433166504
6,0.935935050239563,67.142,0.898149635887146,68.26,16.229960680007935
7,0.8909044166946412,68.688,1.0561718088150025,64.04,16.03998875617981
8,0.8606780032730103,69.72,0.8549329481124878,69.71,35.0958309173584
9,0.8277563571166993,70.898,0.8597410768032074,69.83,35.36797261238098
10,0.8035703400802612,71.884,0.7075114183425903,75.12,35.35638380050659
11,0.7818677123069763,72.566,0.7527881474018097,73.96,34.84376072883606
12,0.7594209059143067,73.714,0.6809575766563416,76.77,35.823941469192505
13,0.7409327898979187,74.312,0.7293224602222442,75.29,35.13049530982971
14,0.7213837664222718,75.212,0.7632987468719482,73.67,35.15895748138428
15,0.7102114774703979,75.554,0.6624703105926514,76.61,16.65301513671875
16,0.6866364098739624,76.45,0.7013840622901917,75.61,16.432923078536987
17,0.6735797313499451,76.98,0.7071866070747376,76.32,21.36630082130432
18,0.66623360622406,77.03,0.7241659639358521,75.72,39.748942613601685
19,0.6543486918830872,77.496,0.6325774730682373,77.85,36.18385720252991
20,0.6431075666618347,77.896,0.677529980134964,76.63,23.806259393692017
