epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,1.450852311782837,46.806,1.1420205108642578,58.78,35.17478013038635
2,1.1144694605827332,59.9,0.9171224992752075,67.82,16.342467308044434
3,0.983578226776123,65.14,0.8024296241760254,72.18,16.542283296585083
4,0.9136359900665283,67.572,0.8233793990135193,70.9,16.15660786628723
5,0.8525047638320923,69.886,0.7432175674438477,73.66,16.179617166519165
6,0.8086303494262695,71.59,0.7432594475746155,73.38,16.71318244934082
7,0.7724482430839539,72.794,0.6764816695213318,76.44,16.736161708831787
8,0.7374151258850098,74.142,0.6745366344928742,76.26,15.93044400215149
9,0.7118859353828431,74.946,0.6740353983879089,76.11,16.210856914520264
10,0.6869466435813903,76.09,0.6009379765033722,79.27,16.088241577148438
11,0.6646540874671936,76.892,0.5929017140388488,79.15,16.49512028694153
12,0.6487528205490112,77.348,0.590231231880188,78.97,15.975144386291504
13,0.6262681452941895,78.048,0.6312755087375641,78.28,16.049919366836548
14,0.6094968873977661,78.758,0.5894887459754944,80.03,16.105162858963013
15,0.5916919402694703,79.306,0.5414609570503235,80.89,16.594467878341675
16,0.5776178470230102,79.816,0.561988261604309,80.36,16.164905548095703
17,0.5643502276039124,80.426,0.5562632169246674,80.68,15.929839611053467
18,0.562812866191864,80.462,0.5476120842933655,80.97,16.36112356185913
19,0.5442566283512116,81.054,0.5407572461128235,81.3,16.035128831863403
20,0.533355678653717,81.47,0.5461178199768066,81.45,16.124534606933594
